$x$ / cm;$D$ / mm;$D_m$ / mm;
 3; 0.00;0.02
 6;-0.05;0.01
 9;-0.09;0.02
12;-0.01;0.17
14; 0.13;0.37
16; 0.32;0.41
18; 0.51;0.88
20; 0.72;1.17
22; 0.96;1.48
24; 1.18;1.79
26; 1.40;2.09
28; 1.63;2.40
30; 1.88;2.74
32; 2.07;3.07
34; 2.34;3.38
36; 2.54;3.78
38; 2.79;4.10
40; 2.96;4.44
42; 3.20;4.79
44; 3.53;5.21
46; 3.88;5.61
48; 3.94;5.88 
